# Purpose: digitized Thomas 1983 Fig. 2 water/oil imbibition recovery for the 10-ft (3-m) block.
# Key information: text states the ultimate recovery is 34.2% at 2 years; plot reading has about +/-1 percentage-point uncertainty.
# digitized from the scanned page (page 5, Fig. 2 "imbibition recovery, 10-ft block"), x-axis calibrate 1/2/3 yr, y-axis anchored to 34.2% @ 2 yr.
time_years,oil_recovery_pct
0.00,0.0
0.10,18.2
0.20,21.6
0.30,24.5
0.50,27.7
0.75,30.1
1.00,31.6
1.25,32.8
1.50,33.4
1.75,33.8
2.00,34.1
