solubility [g/L],temperature [C] = 26,temperature [C] = 36,temperature [C] = 46,temperature [C] = 56,temperature [C] = 66,temperature [C] = 76,temperature [C] = 86,temperature [C] = 96
pressure [Pa] = 1000000,0.3083021093505563,0.44813961798191576,0.5784188744518686,0.6993844339892278,0.8112601422495166,0.9142449625652684,1.0085065553475965,1.0941708950757116
pressure [Pa] = 1500000,1.1713042963717857,1.2398791309603296,1.2996979658262866,1.3501751627946497,1.3703301980883646,1.378587376294126,1.3865386526294594,1.39424993884709
pressure [Pa] = 2000000,1.401763944300002,1.4091107352719423,1.4163126704642535,1.423387041966345,1.4303476247869469,1.4372056493066334,1.4439704438536582,1.4506498770085412
pressure [Pa] = 2500000,1.457250672341528,1.4637786386400446,1.470238842287536,1.476635738930018,1.4829732757996792,1.4892549724475965,1.4954839852985489,1.5016631598875763
pressure [Pa] = 3000000,1.507795073581858,1.513882070858345,1.519926292689185,1.5259297012139783,1.5318941006057596,1.5378211548358487,1.5437124028917264,1.5495692718873482
pressure [Pa] = 3500000,1.5553930884174783,1.5611850884395686,1.5669464259135824,1.5726781803882088,1.578381363688735,1.5840569258351886,1.589705760297883,1.595328708680208
pressure [Pa] = 4000000,1.6009265649042113,1.6065000789629633,1.6120499602940657,1.617576880820655,1.6230814776997204,1.6285643558118748,1.6340260900221268,1.6394672272372803
pressure [Pa] = 4500000,1.64488828828211,1.6502897696137864,1.6556721448914618,1.6610358664159293,1.6663813664523957,1.671709058447972,1.6770193381540328,1.6823125846625113
pressure [Pa] = 5000000,1.687589161364168,1.6928494168359833,1.6980936856640698,1.7033222892077895,1.7085355363102137,1.7137337239595383,1.718917137905502,1.7240860532346556
pressure [Pa] = 5500000,1.7292407349077217,1.7343814382621763,1.7395084094827336,1.7446218860422704,1.7497220971154546,1.7548092639671273,1.7598836003173257,1.7649453126846368
pressure [Pa] = 6000000,1.7699946007095193,1.7750316574589258,1.7800566697136448,1.7850698182394407,1.790071278043262,1.7950612186153518,1.8000398041583496,1.8050071938041463
pressure [Pa] = 6500000,1.8099635418193418,1.8149089978000104,1.8198437068564706,1.824767809788655,1.8296814432527313,1.8345847399194233,1.839477828624586,1.8443608345125178
pressure [Pa] = 7000000,1.849233879172348,1.854097080768055,1.8589505541622955,1.8637944110345905,1.8686287599940343,1.873453706686928,1.8782693538995527,1.8830758016564226
pressure [Pa] = 7500000,1.8878731473141979,1.8926614856515132,1.897440908954938,1.902211507101298,1.9069733676364877,1.911726575851026,1.9164712148524572,1.9212073656348043
pressure [Pa] = 8000000,1.9259351071451851,1.9306545163477866,1.9353656682852274,1.9400686361375747,1.9447634912790008,1.9494503033322421,1.9541291402210166,1.9588000682203972
pressure [Pa] = 8500000,1.9634631520052945,1.9681184546971493,1.9727660379088583,1.9774059617880932,1.9820382850589895,1.9866630650623704,1.9912803577945206,1.9958902179445503
pressure [Pa] = 9000000,2.0004926989304854,2.005087852934086,2.0096757309344193,2.0142563827403412,2.018829857021802,2.0233962013401507,2.027955462177387,2.0325076849644375
pressure [Pa] = 9500000,2.037052914108511,2.0415911930195656,2.0461225641358576,2.0506470689487535,2.055164748026652,2.059675641038228,2.064179786774863,2.068677223172428
pressure [Pa] = 10000000,2.073167987332381,2.0776521155421697,2.0821296432950556,2.086600605309333,2.0910650355468805,0.24646657648364567,0.3596448552592337,0.46585388646195575
pressure [Pa] = 10500000,0.5652726308802124,0.6580698215204464,0.7444027117280185,0.8244153014456764,0.8982357592806576,0.9659725473453332,1.0277083310709125,1.0834898200698784
pressure [Pa] = 11000000,1.1333093649136317,1.177067343510969,1.2144786821251115,1.2447260197108687,1.2613922189673674,1.2710280300987218,1.2798294820637974,1.2881294855531467
pressure [Pa] = 11500000,1.2960698837700624,1.303730717389456,1.3111636056974323,1.3184046361240858,1.3254804534451148,1.3324115250724888,1.339214053752153,1.3459011738532403
pressure [Pa] = 12000000,1.3524837385366517,1.3589708591532643,1.3653702873324802,1.371688693237409,1.3779318730151497,1.3841049066075921,1.390212279920144,1.3962579808605966
pressure [Pa] = 12500000,1.4022455758682681,1.408178271638088,1.4140589654461377,1.419890286584508,1.4256746307796762,1.4314141890141863,1.4371109718405057,1.442766830031622
pressure [Pa] = 13000000,1.4483834722302467,1.4539624801202367,1.4595053215382292,1.4650133618617085,1.4704878739462155,1.475930046834307,1.4813409934191968,1.486721757214439
pressure [Pa] = 13500000,1.492073318355435,1.4973965989380416,1.5026924677826992,1.5079617446988522,1.513205204312986,1.5184235795143168,1.5236175645643852,1.5287878179102
pressure [Pa] = 14000000,1.5339349647351948,1.5390595992775917,1.5441622869418994,1.549243566225889,1.5543039504826115,1.5593439295346647,1.5643639711555997,1.569364522431894
