density [kg/m3],temperature [C] = 26,temperature [C] = 36,temperature [C] = 46,temperature [C] = 56,temperature [C] = 66,temperature [C] = 76,temperature [C] = 86,temperature [C] = 96
pressure [Pa] = 1000000,997.2171216947393,997.4415207910722,997.6659703828824,997.8904704815325,998.115021098388,998.3396222448165,998.5642739321887,998.7889761718774
pressure [Pa] = 1500000,999.0137289752582,999.2385323537094,999.4633863186116,999.6882908813477,999.9132460533037,1000.1382518458682,1000.3633082704317,1000.5884153383881
pressure [Pa] = 2000000,1000.8135730611331,1001.0387814500656,1001.2640405165865,1001.4893502720998,1001.7147107280114,1001.9401218957306,1002.1655837866689,1002.3910964122398
pressure [Pa] = 2500000,1002.6166597838603,1002.8422739129493,1003.0679388109287,1003.2936544892227,1003.5194209592584,1003.7452382324647,1003.971106320274,1004.1970252341207
pressure [Pa] = 3000000,1004.4229949854422,1004.649015585678,1004.8750870462703,1005.101209378664,1005.3273825943069,1005.5536067046486,1005.7798817211419,1006.006207655242
pressure [Pa] = 3500000,1006.2325845184065,1006.4590123220958,1006.6854910777728,1006.912020796903,1007.1386014909547,1007.365233171398,1007.5919158497067,1007.8186495373559
pressure [Pa] = 4000000,1008.0454342458248,1008.2722699865941,1008.4991567711472,1008.7260946109701,1008.9530835175522,1009.1801235023839,1009.4072145769599,1009.6343567527762
pressure [Pa] = 4500000,1009.8615500413321,1010.0887944541292,1010.3160900026717,1010.5434366984665,1010.770834553023,1010.9982835778529,1011.2257837844716,1011.4533351843955
pressure [Pa] = 5000000,1011.6809377891448,1011.9085916102417,1012.1362966592114,1012.3640529475815,1012.5918604868817,1012.8197192886452,1013.0476293644072,1013.2755907257056
pressure [Pa] = 5500000,1013.5036033840812,1013.7316673510766,1013.959782638238,1014.1879492571136,1014.4161672192546,1014.6444365362141,1014.8727572195484,1015.1011292808163
pressure [Pa] = 6000000,1015.3295527315789,1015.5580275834004,1015.7865538478475,1016.0151315364888,1016.2437606608966,1016.4724412326448,1016.7011732633106,1016.9299567644734
pressure [Pa] = 6500000,1017.1587917477158,1017.387678224622,1017.6166162067798,1017.8456057057788,1018.0746467332118,1018.3037393006742,1018.5328834197635,1018.7620791020804
pressure [Pa] = 7000000,1018.9913263592276,1019.220625202811,1019.4499756444388,1019.6793776957218,1019.9088313682734,1020.13833667371,1020.3678936236499,1020.5975022297148
pressure [Pa] = 7500000,1020.8271625035285,1021.0568744567172,1021.2866381009107,1021.5164534477403,1021.7463205088409,1021.9762392958488,1022.2062098204042,1022.4362320941493
pressure [Pa] = 8000000,1022.6663061287287,1022.89643193579,1023.1266095269838,1023.3568389139618,1023.5871201083804,1023.8174531218972,1024.0478379661724,1024.2782746528703
pressure [Pa] = 8500000,1024.5087631936556,1024.7393036001972,1024.9698958841664,1025.2005400572368,1025.4312361310847,1025.661984117389,1025.8927840278318,1026.1236358740969
pressure [Pa] = 9000000,1026.3545396678712,1026.5854954208444,1026.8165031447083,1027.047562851158,1027.2786745518908,1027.509838258607,1027.741053983009,1027.9723217368014
pressure [Pa] = 9500000,1028.2036415316932,1028.4350133793948,1028.6664372916189,1028.8979132800816,1029.1294413565015,1029.3610215325996,1029.5926538200995,1029.824338230728
pressure [Pa] = 10000000,1030.0560747762136,1030.2878634682882,1030.519704318686,1030.7515973391444,1030.9835425414024,994.0544874882764,994.2781749118528,994.501912670762
pressure [Pa] = 10500000,994.7257007763305,994.949539239888,995.1734280727661,995.3973672862995,995.6213568918245,995.845396900681,996.0694873242109,996.2936281737587
pressure [Pa] = 11000000,996.517819460672,996.7420611962997,996.9663533919947,997.1906960591116,997.4150892090076,997.6395328530426,997.8640270025792,998.0885716689826
pressure [Pa] = 11500000,998.3131668636199,998.5378125978617,998.7625088830803,998.9872557306513,999.2120531519521,999.4369011583635,999.6617997612681,999.8867489720516
pressure [Pa] = 12000000,1000.111748802102,1000.3367992628099,1000.5619003655685,1000.7870521217734,1001.012254542823,1001.2375076401185,1001.4628114250628,1001.6881659090621
pressure [Pa] = 12500000,1001.9135711035251,1002.1390270198629,1002.3645336694889,1002.5900910638198,1002.8156992142744,1003.0413581322738,1003.2670678292425,1003.4928283166065
pressure [Pa] = 13000000,1003.718639605795,1003.94450170824,1004.1704146353756,1004.3963783986385,1004.6223930094686,1004.8484584793073,1005.0745748195995,1005.3007420417923
pressure [Pa] = 13500000,1005.5269601573353,1005.7532291776809,1005.9795491142839,1006.2059199786019,1006.4323417820948,1006.6588145362252,1006.8853382524582,1007.1119129422617
pressure [Pa] = 14000000,1007.3385386171061,1007.5652152884641,1007.7919429678116,1008.0187216666263,1008.2455513963888,1008.4724321685828,1008.6993639946937,1008.9263468862101
pressure [Pa] = 14500000,1009.1533808546233,1009.3804659114265,1009.607602068116,1009.8347893361905,1010.0620277271514,1010.2893172525029,1010.5166579237509,1010.7440497524052
pressure [Pa] = 15000000,1010.9714927499772,1011.1989869279813,1011.4265322979343,1011.6541288713556,1011.8817766597676,1012.1094756746944,1012.3372259276639,1012.5650274302056
pressure [Pa] = 15500000,1012.792880193852,1013.0207842301384,1013.2487395506021,1013.4767461667833,1013.7048040902251,1013.9329133324727,1014.1610739050745,1014.3892858195808
pressure [Pa] = 16000000,1014.6175490875447,1014.8458637205225,1015.0742297300723,1015.3026471277552,1015.5311159251347,1015.7596361337772,1015.9882077652518,1016.2168308311293
pressure [Pa] = 16500000,1016.4455053429842,1016.6742313123929,1016.9030087509349,1017.1318376701919,1017.3607180817484,1017.5896499971915,1017.8186334281107,1018.0476683860986
pressure [Pa] = 17000000,1018.27675488275,1018.5058929296622,1018.7350825384354,1018.9643237206725,1019.1936164879786,1019.4229608519619,1019.6523568242325,1019.8818044164041
pressure [Pa] = 17500000,1020.1113036400924,1020.3408545069154,1020.5704570284945,1020.8001112164534,1021.0298170824179,1021.259574638017,1021.4893838948826,1021.7192448646483
pressure [Pa] = 18000000,1021.9491575589509,1022.17912198943,1022.4091381677273,1022.6392061054875,1022.8693258143577,1023.0994973059877,1023.32972059203,1023.5599956841396
pressure [Pa] = 18500000,1023.7903225939741,1024.020701333194,1024.2511319134621,1024.4816143464438,1024.712148643808,1024.9427348172244,1025.1733728783672,1025.4040628389123
