time_s,co2_rate_matrix_mol_s,water_rate_matrix_mol_s,co2_rate_frac_mol_s,water_rate_frac_mol_s,phase
10,-0.01,0,-0.01,0,gas
20,-0.01,0,-0.01,0,gas
30,-0.01,0,-0.01,0,gas
40,-0.01,0,-0.01,0,gas
50,-0.01,0,-0.01,0,gas
60,-0.01,0,-0.01,0,gas
70,-0.01,0,-0.01,0,gas
80,-0.01,0,-0.01,0,gas
90,-0.01,0,-0.01,0,gas
100,-0.01,0,-0.01,0,gas
110,0,-0.01,0,-0.01,water
120,0,-0.01,0,-0.01,water
130,0,-0.01,0,-0.01,water
140,0,-0.01,0,-0.01,water
150,0,-0.01,0,-0.01,water
160,0,-0.01,0,-0.01,water
170,0,-0.01,0,-0.01,water
180,0,-0.01,0,-0.01,water
190,0,-0.01,0,-0.01,water
200,0,-0.01,0,-0.01,water
210,-0.01,0,-0.01,0,gas
220,-0.01,0,-0.01,0,gas
230,-0.01,0,-0.01,0,gas
240,-0.01,0,-0.01,0,gas
250,-0.01,0,-0.01,0,gas
260,-0.01,0,-0.01,0,gas
270,-0.01,0,-0.01,0,gas
280,-0.01,0,-0.01,0,gas
290,-0.01,0,-0.01,0,gas
300,-0.01,0,-0.01,0,gas
310,0,-0.01,0,-0.01,water
320,0,-0.01,0,-0.01,water
330,0,-0.01,0,-0.01,water
340,0,-0.01,0,-0.01,water
350,0,-0.01,0,-0.01,water
360,0,-0.01,0,-0.01,water
370,0,-0.01,0,-0.01,water
380,0,-0.01,0,-0.01,water
390,0,-0.01,0,-0.01,water
400,0,-0.01,0,-0.01,water
410,-0.01,0,-0.01,0,gas
420,-0.01,0,-0.01,0,gas
430,-0.01,0,-0.01,0,gas
440,-0.01,0,-0.01,0,gas
450,-0.01,0,-0.01,0,gas
460,-0.01,0,-0.01,0,gas
470,-0.01,0,-0.01,0,gas
480,-0.01,0,-0.01,0,gas
490,-0.01,0,-0.01,0,gas
500,-0.01,0,-0.01,0,gas
510,0,-0.01,0,-0.01,water
520,0,-0.01,0,-0.01,water
530,0,-0.01,0,-0.01,water
540,0,-0.01,0,-0.01,water
550,0,-0.01,0,-0.01,water
560,0,-0.01,0,-0.01,water
570,0,-0.01,0,-0.01,water
580,0,-0.01,0,-0.01,water
590,0,-0.01,0,-0.01,water
600,0,-0.01,0,-0.01,water
610,-0.01,0,-0.01,0,gas
620,-0.01,0,-0.01,0,gas
630,-0.01,0,-0.01,0,gas
640,-0.01,0,-0.01,0,gas
650,-0.01,0,-0.01,0,gas
660,-0.01,0,-0.01,0,gas
670,-0.01,0,-0.01,0,gas
680,-0.01,0,-0.01,0,gas
690,-0.01,0,-0.01,0,gas
700,-0.01,0,-0.01,0,gas
710,0,-0.01,0,-0.01,water
720,0,-0.01,0,-0.01,water
730,0,-0.01,0,-0.01,water
740,0,-0.01,0,-0.01,water
750,0,-0.01,0,-0.01,water
760,0,-0.01,0,-0.01,water
770,0,-0.01,0,-0.01,water
780,0,-0.01,0,-0.01,water
790,0,-0.01,0,-0.01,water
