solubility [g/L],temperature [C] = 26,temperature [C] = 36,temperature [C] = 46,temperature [C] = 56,temperature [C] = 66,temperature [C] = 76,temperature [C] = 86,temperature [C] = 96
pressure [Pa] = 1000000,0,0,0,0,0,0,0,0
pressure [Pa] = 1500000,0,0,0,0,0,0,0,0
pressure [Pa] = 2000000,0,0,0,0,0,0,0,0
pressure [Pa] = 2500000,0,0,0,0,0,0,0,0
pressure [Pa] = 3000000,0,0,0,0,0,0,0,0
pressure [Pa] = 3500000,0,0,0,0,0,0,0,0
pressure [Pa] = 4000000,0,0,0,0,0,0,0,0
pressure [Pa] = 4500000,0,0,0,0,0,0,0,0
pressure [Pa] = 5000000,0,0,0,0,0,0,0,0
pressure [Pa] = 5500000,0,0,0,0,0,0,0,0
pressure [Pa] = 6000000,0,0,0,0,0,0,0,0
pressure [Pa] = 6500000,0,0,0,0,0,0,0,0
pressure [Pa] = 7000000,0,0,0,0,0,0,0,0
pressure [Pa] = 7500000,0,0,0,0,0,0,0,0
pressure [Pa] = 8000000,0,0,0,0,0,0,0,0
pressure [Pa] = 8500000,0,0,0,0,0,0,0,0
pressure [Pa] = 9000000,0,0,0,0,0,0,0,0
pressure [Pa] = 9500000,0,0,0,0,0,0,0,0
pressure [Pa] = 10000000,0,0,0,0,0,0,0,0
pressure [Pa] = 10500000,0,0,0,0,0,0,0,0
pressure [Pa] = 11000000,0,0,0,0,0,0,0,0
pressure [Pa] = 11500000,0,0,0,0,0,0,0,0
pressure [Pa] = 12000000,0,0,0,0,0,0,0,0
pressure [Pa] = 12500000,0,0,0,0,0,0,0,0
pressure [Pa] = 13000000,0,0,0,0,0,0,0,0
pressure [Pa] = 13500000,0,0,0,0,0,0,0,0
pressure [Pa] = 14000000,0,0,0,0,0,0,0,0
pressure [Pa] = 14500000,0,0,0,0,0,0,0,0
pressure [Pa] = 15000000,0,0,0,0,0,0,0,0
pressure [Pa] = 15500000,0,0,0,0,0,0,0,0
pressure [Pa] = 16000000,0,0,0,0,0,0,0,0
pressure [Pa] = 16500000,0,0,0,0,0,0,0,0
pressure [Pa] = 17000000,0,0,0,0,0,0,0,0
pressure [Pa] = 17500000,0,0,0,0,0,0,0,0
pressure [Pa] = 18000000,0,0,0,0,0,0,0,0
pressure [Pa] = 18500000,0,0,0,0,0,0,0,0
pressure [Pa] = 19000000,0,0,0,0,0,0,0,0
