viscosity [Pa*s],temperature [C] = 26,temperature [C] = 36,temperature [C] = 46,temperature [C] = 56,temperature [C] = 66,temperature [C] = 76,temperature [C] = 86,temperature [C] = 96
pressure [Pa] = 1000000,1.5073641179785858e-05,1.5149519385041654e-05,1.5246644036983194e-05,1.5369500304669304e-05,1.552415425007772e-05,1.5719104145521362e-05,1.5966804703186734e-05,1.6286638158633267e-05
pressure [Pa] = 1500000,1.6711420914859617e-05,1.730431561968802e-05,1.8217320888371286e-05,2.0082468962013708e-05,5.9014677261463987e-05,6.22855995180561e-05,6.485904108376273e-05,6.70453164549479e-05
pressure [Pa] = 2000000,6.897801850883486e-05,7.072888259060241e-05,7.23416249511794e-05,7.384518652236825e-05,7.525987863509044e-05,7.660058737993166e-05,7.78785934188098e-05,7.910267541023626e-05
pressure [Pa] = 2500000,8.027981455393146e-05,8.141566364078288e-05,8.251487025806783e-05,8.358130600358712e-05,8.461823308840511e-05,8.562842797126913e-05,8.661427483181951e-05,8.757783736383137e-05
pressure [Pa] = 3000000,8.85209147125606e-05,8.944508560455695e-05,9.035174358110708e-05,9.124212538942687e-05,9.211733409960668e-05,9.297835807682476e-05,9.382608667656341e-05,9.466132332267573e-05
pressure [Pa] = 3500000,9.548479647753088e-05,9.629716890101586e-05,9.70990455103964e-05,9.789098008836859e-05,9.867348103694598e-05,9.944701633622622e-05,0.00010021201783758144,0.00010096888499172675
pressure [Pa] = 4000000,0.00010171798811137503,0.00010245967121781408,0.00010319425455139236,0.00010392203678092169,0.00010464329696463702,0.00010535829628315074,0.00010606727958761859,0.000106770476779675
pressure [Pa] = 4500000,0.00010746810404220569,0.00010816036495771103,0.00010884745149341207,0.0001095295449055973,0.00011020681654994017,0.00011087942861628276,0.00011154753479525456,0.00011221128088424743
pressure [Pa] = 5000000,0.0001128708053393012,0.00011352623977865576,0.00011417770944299968,0.00011482533361685991,0.00011546922601504147,0.0001161094951375798,0.0001167462445962611,0.00011737957341544096
pressure [Pa] = 5500000,0.00011800957630956679,0.00011863634393957595,0.00011925996315008056,0.00011988051718907759,0.00012049808591169192,0.0001211127459694091,0.00012172457098596146,0.00012233363172104025
pressure [Pa] = 6000000,0.00012293999622285017,0.0001235437299640608,0.00012414489599684396,0.00012474355504715588,0.0001253397656490371,0.00012593358424923217,0.00012652506530916424,0.000127114261400608
pressure [Pa] = 6500000,0.000127701223295525,0.00012828600005049932,0.00012886863908615688,0.0001294491862619281,0.00013002768594648782,0.00013060418108416748,0.00013117871325761906,0.00013175132274699029
pressure [Pa] = 7000000,0.00013232204858583591,0.0001328909286139915,0.0001334579995276043,0.00013402329692650388,0.00013458685535908845,0.00013514870836487972,0.00013570888851489234,0.00013626742744995813
pressure [Pa] = 7500000,0.00013682435591712438,0.00013737970380424663,0.00013793350017288376,0.00013848577328959353,0.00013903655065572795,0.00013958585903580626,0.0001401337244845593,0.0001406801723727107
pressure [Pa] = 8000000,0.00014122522741157083,0.0001417689136765082,0.00014231125462935967,0.0001428522731398431,0.00014339199150601258,0.0001439304314738285,0.00014446761425586526,0.00014500356054922633
pressure [Pa] = 8500000,0.00014553829055268148,0.00014607182398309742,0.00014660418009116656,0.00014713537767648704,0.0001476654351020392,0.00014819437030804005,0.00014872220082475917,0.00014924894378721246
pressure [Pa] = 9000000,0.0001497746159447397,0.00015029923367449418,0.00015082281299237722,0.00015134536956393116,0.00015186691871482238,0.00015238747544091835,0.00015290705441799255,0.000153425670011061
pressure [Pa] = 9500000,0.00015394333628337802,0.0001544600670050973,0.0001549758756616196,0.00015549077546163858,0.00015600477934489678,0.00015651789998966648,0.00015703014981996723,0.0001575415410125281
pressure [Pa] = 10000000,0.0001580520855035106,0.00015856179499499728,0.00015907068096126004,0.00015957875465481364,0.0001600860271122664,1.5552070799930513e-05,1.5623016893281644e-05,1.571252009102957e-05
pressure [Pa] = 10500000,1.5823870760921478e-05,1.5961290122489413e-05,1.613031394696509e-05,1.633839569956273e-05,1.659589956742213e-05,1.691783185992169e-05,1.7327087535377315e-05,1.786114670173972e-05
pressure [Pa] = 11000000,1.8587818460221638e-05,1.965012947067502e-05,2.1442921050249503e-05,2.598843746985809e-05,4.158275733242875e-05,4.8730396248513184e-05,5.283887902387474e-05,5.587792612108322e-05
pressure [Pa] = 11500000,5.836207679540395e-05,6.050205572421308e-05,6.240511839491873e-05,6.413356891036763e-05,6.57270424527473e-05,6.721248860359318e-05,6.860917991418475e-05,6.99314488835176e-05
pressure [Pa] = 12000000,7.119028885026505e-05,7.239434402808098e-05,7.355055086818711e-05,7.466457009023961e-05,7.574108748527551e-05,7.678402932435234e-05,7.779672037452811e-05,7.878200222177777e-05
pressure [Pa] = 12500000,7.974232352781586e-05,8.067980987902503e-05,8.159631867681665e-05,8.249348275230693e-05,8.337274541296426e-05,8.423538888416507e-05,8.50825575916658e-05,8.591527737638155e-05
pressure [Pa] = 13000000,8.673447145578698e-05,8.75409738232876e-05,8.833554045524336e-05,8.911885890198714e-05,8.989155636851189e-05,9.065420668164192e-05,9.140733626250725e-05,9.215142929008206e-05
pressure [Pa] = 13500000,9.288693217760222e-05,9.361425745919246e-05,9.433378721193962e-05,9.504587604124848e-05,9.575085369199302e-05,9.644902739147567e-05,9.714068388410665e-05,9.782609126517139e-05
pressure [Pa] = 14000000,9.850550060226042e-05,9.917914738473013e-05,9.984725282095647e-05,0.00010051002500214518,0.00010116765994880753,0.00010182034255389695,0.00010246824743555295,0.00010311153970314804
pressure [Pa] = 14500000,0.00010375037566686266,0.0001043849034573549,0.00010501526362758029,0.00010564158963888172,0.00010626400840066174,0.00010688264065789549,0.00010749760141659005,0.00010810900032285084
pressure [Pa] = 15000000,0.0001087169419888421,0.00010932152631268669,0.00010992284876632469,0.00011052100066320599,0.00011111606940456518,0.00011170813870774093,0.00011229728881785264,0.00011288359670318439
pressure [Pa] = 15500000,0.00011346713623908414,0.00011404797837638977,0.00011462619129974706,0.00011520184057462709,0.00011577498928470084,0.00011634569815997826,0.0001169140256966988,0.0001174800282708388
pressure [Pa] = 16000000,0.00011804376023425937,0.00011860527403858858,0.00011916462028758232,0.00011972184786112936,0.00012027700397762529,0.00012083013427406532,0.00012138128288021587,0.00012193049248537177
pressure [Pa] = 16500000,0.00012247780440291053,0.0001230232586295533,0.00012356689391146948,0.0001241087477711608,0.00012464885660257662,0.00012518725568138085,0.00012572397922162154,0.00012625906043198227
pressure [Pa] = 17000000,0.00012679253153994032,0.0001273244238395045,0.00012785476772635593,0.000128383592733213,0.00012891092756322833,0.00012943680012177013,0.00012996123754678603,0.0001304842662373883
pressure [Pa] = 17500000,0.00013100591188156327,0.00013152619948234593,0.00013204515338233297,0.00013256279728776431,0.00013307915429148324,0.00013359424689387634,0.00013410809702495374,0.0001346207260617206
pressure [Pa] = 18000000,0.00013513215485010794,0.00013564240372072612,0.00013615149250510296,0.00013665944055961052,0.00013716626676965962,0.00013767198957624028,0.00013817662698384903,0.00013868019656557864
pressure [Pa] = 18500000,0.00013918271551330646,0.00013968420058846286,0.00014018466820325993,0.00014068413439312916,0.00014118261479836982,0.00014168012475983675,0.00014217667926764004,0.00014267229294941756
pressure [Pa] = 19000000,0.00014316698017041794,0.00014366075495483076,0.00014415363102563818,0.00014464562182726302,0.0001451367405041562,0.0001456269999535499,0.00014611641279685514,0.0001466049913809422
pressure [Pa] = 19500000,0.00014709274781586452,0.00014757969396327904,1.602775353851348e-05,1.6094410192500994e-05,1.617748031548033e-05,1.6279445265900114e-05,1.6403361609175158e-05,1.655304790818135e-05
pressure [Pa] = 20000000,1.6733351907340542e-05,1.695054280448985e-05,1.7212904814893665e-05,1.7531667504511363e-05,1.792252554502237e-05,1.8408245691446243e-05,1.902340516073598e-05,1.9823608837604467e-05
pressure [Pa] = 20500000,2.0904830780364555e-05,2.2446724726355234e-05,2.4804478555267084e-05,2.8583990117150483e-05,3.3941687254250456e-05,3.928103246878867e-05,4.3574319973191104e-05,4.696958704258061e-05
pressure [Pa] = 21000000,4.976807301226893e-05,5.216151852237182e-05,5.4265742072984004e-05,5.615419294868207e-05,5.7875889240413906e-05,5.946497540074485e-05,6.0946087185629866e-05,6.233753365037535e-05
pressure [Pa] = 21500000,6.36532732779122e-05,6.490418697600343e-05,6.609892327237667e-05,6.724447439303865e-05,6.834657833020695e-05,6.941000565352897e-05,7.04387682812082e-05,7.143627430828235e-05
pressure [Pa] = 22000000,7.240544484131585e-05,7.334880350826444e-05,7.426854610884184e-05,7.516659544620313e-05,7.604464504948895e-05,7.690419439952924e-05,7.774657760089475e-05,7.857298689388724e-05
pressure [Pa] = 22500000,7.938449213982282e-05,8.018205703980956e-05,8.096655277224833e-05,8.173876948192769e-05,8.249942605872007e-05,8.324917847915287e-05,8.398862696530965e-05,8.471832215615882e-05
pressure [Pa] = 23000000,8.543877045295521e-05,8.615043864870972e-05,8.685375800720455e-05,8.754912778579399e-05,8.823691836503014e-05,8.891747399056213e-05,8.959111520317902e-05,9.025814099929686e-05
pressure [Pa] = 23500000,9.091883073266893e-05,9.15734458347519e-05,9.222223132994078e-05,9.286541720638539e-05,9.350321964218065e-05,9.413584211252661e-05,9.47634763683944e-05,9.538630336980204e-05
pressure [Pa] = 24000000,9.600449406471272e-05,9.66182101548307e-05,9.722760474341201e-05,9.783282296692174e-05,9.843400254237216e-05,9.903127427864558e-05,9.962476254244797e-05,0.00010021458568529583
pressure [Pa] = 24500000,0.0001008008564353845,0.0001013836822577292,0.0001019631656856426,0.00010253940462574044,0.00010311249264211922,0.00010368251921292027,0.00010424956997752802,0.00010481372694469425
