x,y
1.021134e-05,1.0043
1.686811e-05,1.00108
2.786442e-05,1.00215
4.602922e-05,1.00323
7.603565e-05,1.00376
0.0001256033,1.00484
0.000207484,1.00645
0.0003427427,1.00806
0.0005661765,1.00968
0.0009287695,1.01183
0.00153423,1.01452
0.00251679,1.01828
0.00412861,1.02473
0.00672562,1.0328
0.0109562,1.04194
0.017848,1.05215
0.0209519,1.05484
0.0292783,1.06129
0.032962,1.06505
0.05445,1.06452
0.085662,1.04892
0.127456,1.02527
0.181871,0.997849
0.255926,0.969892
0.367745,0.943548
0.558727,0.921505
0.89758,0.910215
1.48271,0.906452
2.44929,0.905914
4.04598,0.906989
6.68356,0.90914
10.9639,0.91129
18.1112,0.912366
29.9179,0.913978
49.4214,0.917204
81.6391,0.921505
136.753,0.925806
227.483,0.926344
357.881,0.917204
510.674,0.892473
656.351,0.859677
792.282,0.823118
923.604,0.784946
1047.08,0.747312
1162.51,0.709677
1290.65,0.671505
1463.2,0.633871
2087.9,0.46828
2367.04,0.430645
2537.94,0.392473
2817.7,0.354839
3063.55,0.316667
3354.15,0.278495
3698.01,0.24086
4105.65,0.203226
4590.1,0.165054
5203.77,0.127419
5982.32,0.0897849
7171.1,0.0521505
9477.37,0.0209677
14101.3,0.00215054
22653.3,-0.00430108
37682.8,-0.00376344
62248.2,-0.0005376344
100000,0
166345.6,-0.0005376344
274786.2,-0.00215054
453919.1,-0.00268817
749828.9,-0.00268817
