x,y
1.3204e-05,1.00085
2.039397e-05,1.00177
3.431136e-05,1.00221
5.772636e-05,1.00273
9.372066e-05,1.00347
0.0001500053,1.0045
0.0002366942,1.00572
0.0003681956,1.00712
0.0005566595,1.0087
0.0008063628,1.01051
0.00112719,1.0125
0.00153138,1.01461
0.00202203,1.01686
0.00261341,1.01918
0.00330631,1.02154
0.00412372,1.02397
0.00499867,1.02641
0.0059311,1.02892
0.00693786,1.03142
0.00805788,1.03393
0.00922627,1.03651
0.0105641,1.0391
0.0120959,1.04168
0.0137514,1.04426
0.0153029,1.04684
0.0169084,1.04942
0.018816,1.05201
0.0207902,1.05462
0.0228083,1.05724
0.0250224,1.05986
0.0276477,1.06248
0.030987,1.06506
0.0354801,1.06764
0.0433157,1.07008
0.0439375,1.07067
0.0713339,1.06986
0.0870877,1.06761
0.0962248,1.0648
0.105566,1.06211
0.115813,1.05953
0.126153,1.05691
0.135471,1.05429
0.145478,1.05167
0.158467,1.04905
0.173849,1.04644
0.189371,1.04382
0.201915,1.0412
0.213761,1.03858
0.226302,1.03596
0.243018,1.03334
0.264715,1.03072
0.286302,1.02811
0.311864,1.02552
0.3349,1.02287
0.359638,1.02021
0.391747,1.01759
0.435944,1.01497
0.495611,1.01239
0.551526,1.00977
0.631497,1.00712
0.793253,1.00472
1.13282,1.00314
1.81315,1.00291
2.96476,1.00361
4.77921,1.00476
7.54115,1.00609
11.6475,1.00752
17.3602,1.00915
25.1475,1.01095
34.9033,1.01298
46.4159,1.0152
60.8523,1.01745
78.0913,1.01973
98.7958,1.02209
121.477,1.02453
146.206,1.02704
173.478,1.02951
202.925,1.03201
234.011,1.03456
273.732,1.0371
320.196,1.03969
377.226,1.04227
473.851,1.04459
701.242,1.04629
791.559,1.0461
1023.07,1.04382
1213.9,1.04131
1370.25,1.03873
1524.84,1.03611
1696.88,1.03353
1915.43,1.03098
2146.77,1.02836
2372.01,1.02574
2602.26,1.02316
2875.29,1.02054
3245.61,1.01796
3611.79,1.01538
4019.27,1.01276
4536.94,1.01018
5194.79,1.00763
6120.03,1.00505
7742.64,1.00266
10900.6,1.00092
17078,1.00004
28325.8,0.999779
47656.1,0.999779
80177.9,0.999816
133935.5,0.999852
223736.5,0.999926
373747.4,1
624337.4,0.999816
1013633,0.99893
