ct/a^2,2G_uz/(Pc*b)
1.000000e-07,3.721607e-01
1.162322e-07,3.721644e-01
1.350994e-07,3.721683e-01
1.570290e-07,3.721726e-01
1.825183e-07,3.721772e-01
2.121452e-07,3.721822e-01
2.465811e-07,3.721876e-01
2.866068e-07,3.721933e-01
3.331295e-07,3.721996e-01
3.872039e-07,3.722063e-01
4.500558e-07,3.722135e-01
5.231099e-07,3.722213e-01
6.080224e-07,3.722297e-01
7.067181e-07,3.722388e-01
8.214344e-07,3.722486e-01
9.547716e-07,3.722591e-01
1.109752e-06,3.722705e-01
1.289890e-06,3.722828e-01
1.499268e-06,3.722960e-01
1.742633e-06,3.723103e-01
2.025502e-06,3.723256e-01
2.354286e-06,3.723422e-01
2.736440e-06,3.723601e-01
3.180626e-06,3.723793e-01
3.696913e-06,3.724001e-01
4.297005e-06,3.724225e-01
4.994505e-06,3.724466e-01
5.805226e-06,3.724727e-01
6.747544e-06,3.725007e-01
7.842822e-06,3.725310e-01
9.115888e-06,3.725636e-01
1.059560e-05,3.725988e-01
1.231551e-05,3.726368e-01
1.431459e-05,3.726777e-01
1.663817e-05,3.727218e-01
1.933892e-05,3.727694e-01
2.247806e-05,3.728207e-01
2.612675e-05,3.728760e-01
3.036771e-05,3.729356e-01
3.529707e-05,3.730000e-01
4.102658e-05,3.730693e-01
4.768612e-05,3.731442e-01
5.542665e-05,3.732248e-01
6.442364e-05,3.733119e-01
7.488104e-05,3.734057e-01
8.703591e-05,3.735069e-01
1.011638e-04,3.736161e-01
1.175850e-04,3.737339e-01
1.366716e-04,3.738609e-01
1.588565e-04,3.739979e-01
1.846425e-04,3.741457e-01
2.146141e-04,3.743052e-01
2.494508e-04,3.744773e-01
2.899423e-04,3.746629e-01
3.370064e-04,3.748632e-01
3.917101e-04,3.750793e-01
4.552935e-04,3.753125e-01
5.291979e-04,3.755642e-01
6.150986e-04,3.758358e-01
7.149429e-04,3.761290e-01
8.309942e-04,3.764455e-01
9.658832e-04,3.767872e-01
1.122668e-03,3.771561e-01
1.304902e-03,3.775545e-01
1.516717e-03,3.779848e-01
1.762914e-03,3.784495e-01
2.049075e-03,3.789515e-01
2.381686e-03,3.794939e-01
2.768287e-03,3.800800e-01
3.217642e-03,3.807135e-01
3.739937e-03,3.813983e-01
4.347013e-03,3.821388e-01
5.052631e-03,3.829397e-01
5.872787e-03,3.838060e-01
6.826072e-03,3.847435e-01
7.934097e-03,3.857582e-01
9.221979e-03,3.868568e-01
1.071891e-02,3.880468e-01
1.245883e-02,3.893361e-01
1.448118e-02,3.907336e-01
1.683180e-02,3.922491e-01
1.956398e-02,3.938932e-01
2.273966e-02,3.956779e-01
2.643081e-02,3.976161e-01
3.072113e-02,3.997222e-01
3.570786e-02,4.020124e-01
4.150405e-02,4.045044e-01
4.824109e-02,4.072179e-01
5.607170e-02,4.101748e-01
6.517340e-02,4.133992e-01
7.575250e-02,4.169166e-01
8.804884e-02,4.207526e-01
1.023411e-01,4.249297e-01
1.189534e-01,4.294634e-01
1.382622e-01,4.343570e-01
1.607053e-01,4.395964e-01
1.867914e-01,4.451454e-01
2.171118e-01,4.509420e-01
2.523539e-01,4.568975e-01
2.933166e-01,4.628968e-01
3.409285e-01,4.688025e-01
3.962689e-01,4.744621e-01
4.605922e-01,4.797197e-01
5.353567e-01,4.844309e-01
6.222571e-01,4.884803e-01
7.232634e-01,4.917977e-01
8.406653e-01,4.943700e-01
9.771242e-01,4.962432e-01
1.135733e+00,4.975145e-01
1.320088e+00,4.983133e-01
1.534368e+00,4.987778e-01
1.783431e+00,4.990321e-01
2.072922e+00,4.991725e-01
2.409404e+00,4.992623e-01
2.800504e+00,4.993364e-01
3.255089e+00,4.994105e-01
3.783463e+00,4.994893e-01
4.397604e+00,4.995734e-01
5.111433e+00,4.996629e-01
5.941134e+00,4.997581e-01
6.905514e+00,4.998599e-01
8.026434e+00,4.999692e-01
9.329304e+00,5.000870e-01
1.084366e+01,5.002141e-01
1.260383e+01,5.003513e-01
1.464971e+01,5.004993e-01
