x,y
1.021134e-05,1.0043
1.686811e-05,1.00108
2.786442e-05,1.00215
4.602922e-05,1.00323
7.603565e-05,1.00376
0.0001256033,1.00484
0.000207484,1.00645
0.0003427427,1.00806
0.0005661765,1.00968
0.0009287695,1.01183
0.00153423,1.01452
0.00251679,1.01828
0.00412861,1.02473
0.00672562,1.0328
0.0109562,1.04194
0.017848,1.05215
0.0209519,1.05484
0.0292783,1.06129
0.0341312,1.0457
0.046708,1.0172
0.0571729,0.980108
0.0666494,0.943011
0.0776967,0.906452
0.0880843,0.868817
0.0977939,0.831183
0.107071,0.793011
0.118047,0.755376
0.13106,0.717204
0.143492,0.67957
0.151722,0.641398
0.221073,0.453763
0.245442,0.416129
0.268724,0.377957
0.284137,0.339785
0.311089,0.301613
0.342982,0.263441
0.378144,0.225269
0.422764,0.187097
0.472649,0.149462
0.52842,0.11129
0.607477,0.0731183
0.754022,0.038172
1.04636,0.011828
1.63472,-0.0005376344
2.70039,-0.00376344
4.49197,-0.00376344
7.42029,-0.00322581
12.2576,-0.00268817
20.2483,-0.00268817
33.4481,-0.00268817
55.2529,-0.00268817
91.2723,-0.00268817
150.773,-0.00268817
249.061,-0.00268817
411.424,-0.00268817
679.632,-0.00215054
1122.68,-0.00215054
1854.56,-0.00215054
3063.55,-0.00268817
5060.67,-0.00215054
8359.72,-0.00107527
13809.4,-0.0016129
22811.8,-0.00268817
37682.8,-0.00215054
62248.2,0
100000,0
166345.6,-0.0005376344
274786.2,-0.00215054
453919.1,-0.00268817
749828.9,-0.00268817
