t (s),u_z (m)
1.050543e-06,1.796142e-05
1.221069e-06,1.796160e-05
1.419277e-06,1.796179e-05
1.649657e-06,1.796200e-05
1.917433e-06,1.796222e-05
2.228676e-06,1.796246e-05
2.590440e-06,1.796272e-05
3.010927e-06,1.796300e-05
3.499668e-06,1.796330e-05
4.067743e-06,1.796362e-05
4.728029e-06,1.796397e-05
5.495493e-06,1.796435e-05
6.387535e-06,1.796475e-05
7.424376e-06,1.796519e-05
8.629520e-06,1.796567e-05
1.003028e-05,1.796617e-05
1.165842e-05,1.796672e-05
1.355085e-05,1.796732e-05
1.575045e-05,1.796795e-05
1.830711e-05,1.796864e-05
2.127877e-05,1.796938e-05
2.473278e-05,1.797018e-05
2.874747e-05,1.797105e-05
3.341384e-05,1.797197e-05
3.883765e-05,1.797298e-05
4.514188e-05,1.797406e-05
5.246941e-05,1.797522e-05
6.098638e-05,1.797648e-05
7.088584e-05,1.797783e-05
8.239220e-05,1.797930e-05
9.576630e-05,1.798087e-05
1.113113e-04,1.798257e-05
1.293797e-04,1.798440e-05
1.503809e-04,1.798638e-05
1.747911e-04,1.798850e-05
2.031636e-04,1.799080e-05
2.361416e-04,1.799328e-05
2.744727e-04,1.799595e-05
3.190258e-04,1.799882e-05
3.708108e-04,1.800193e-05
4.310018e-04,1.800528e-05
5.009631e-04,1.800889e-05
5.822807e-04,1.801278e-05
6.767979e-04,1.801698e-05
7.866574e-04,1.802151e-05
9.143495e-04,1.802639e-05
1.062769e-03,1.803167e-05
1.235281e-03,1.803735e-05
1.435794e-03,1.804348e-05
1.668855e-03,1.805009e-05
1.939748e-03,1.805722e-05
2.254613e-03,1.806492e-05
2.620587e-03,1.807323e-05
3.045968e-03,1.808219e-05
3.540396e-03,1.809185e-05
4.115082e-03,1.810228e-05
4.783053e-03,1.811354e-05
5.559450e-03,1.812569e-05
6.461874e-03,1.813879e-05
7.510781e-03,1.815294e-05
8.729950e-03,1.816822e-05
1.014702e-02,1.818471e-05
1.179411e-02,1.820251e-05
1.370855e-02,1.822174e-05
1.593376e-02,1.824251e-05
1.852017e-02,1.826494e-05
2.152641e-02,1.828917e-05
2.502063e-02,1.831534e-05
2.908204e-02,1.834363e-05
3.380271e-02,1.837420e-05
3.928964e-02,1.840725e-05
4.566723e-02,1.844299e-05
5.308005e-02,1.848165e-05
6.169614e-02,1.852346e-05
7.171081e-02,1.856870e-05
8.335108e-02,1.861767e-05
9.688083e-02,1.867069e-05
1.126067e-01,1.872813e-05
1.308853e-01,1.879035e-05
1.521310e-01,1.885780e-05
1.768253e-01,1.893094e-05
2.055280e-01,1.901029e-05
2.388899e-01,1.909642e-05
2.776670e-01,1.918997e-05
3.227386e-01,1.929161e-05
3.751263e-01,1.940214e-05
4.360178e-01,1.952241e-05
5.067933e-01,1.965337e-05
5.890572e-01,1.979608e-05
6.846744e-01,1.995170e-05
7.958124e-01,2.012146e-05
9.249907e-01,2.030659e-05
1.075137e+00,2.050819e-05
1.249656e+00,2.072700e-05
1.452504e+00,2.096318e-05
1.688278e+00,2.121604e-05
1.962324e+00,2.148385e-05
2.280852e+00,2.176361e-05
2.651086e+00,2.205104e-05
3.081416e+00,2.234058e-05
3.581600e+00,2.262560e-05
4.162974e+00,2.289875e-05
4.838718e+00,2.315250e-05
5.624151e+00,2.337987e-05
6.537077e+00,2.357530e-05
7.598191e+00,2.373541e-05
8.831549e+00,2.385956e-05
1.026511e+01,2.394996e-05
1.193136e+01,2.401132e-05
1.386809e+01,2.404987e-05
1.611919e+01,2.407229e-05
1.873571e+01,2.408456e-05
2.177693e+01,2.409134e-05
2.531182e+01,2.409567e-05
2.942049e+01,2.409925e-05
3.419610e+01,2.410282e-05
3.974690e+01,2.410663e-05
4.619871e+01,2.411069e-05
5.369779e+01,2.411500e-05
6.241415e+01,2.411960e-05
7.254538e+01,2.412451e-05
8.432112e+01,2.412979e-05
9.800833e+01,2.413547e-05
1.139173e+02,2.414161e-05
1.324086e+02,2.414823e-05
1.539015e+02,2.415537e-05
1.788832e+02,2.416307e-05
2.079200e+02,2.417138e-05
