# Purpose: Thomas 1983 water/oil fine-grid (7x7x8 internal matrix, 1-ft water shell, fracture krw=0.03) oil-component recovery vs time; Thomas Fig.2 10-ft curve as reference.
time_years,oil_recovery_pct,thomas_fig2_pct
0.00,0.000,0.0
0.10,16.836,18.2
0.20,22.000,21.6
0.30,24.088,24.5
0.40,25.760,26.1
0.50,27.134,27.7
0.60,28.270,28.7
0.70,29.216,29.6
0.80,30.005,30.4
0.90,30.665,31.0
1.00,31.215,31.6
1.10,31.675,32.1
1.20,32.060,32.6
1.30,32.382,32.9
1.40,32.652,33.2
1.50,32.874,33.4
1.60,33.057,33.6
1.70,33.207,33.7
1.80,33.329,33.9
1.90,33.428,34.0
2.00,33.428,34.1
