# Purpose: Thomas 1983 water/oil single-block dual-continuum oil-component recovery vs time; Thomas Fig.2 10-ft curve as reference.
time_years,oil_recovery_pct,thomas_fig2_pct
0.00,0.000,0.0
0.10,21.109,18.2
0.20,26.699,21.6
0.30,30.324,24.5
0.40,32.647,26.1
0.50,33.818,27.7
0.60,34.400,28.7
0.70,34.691,29.6
0.80,34.838,30.4
0.90,34.912,31.0
1.00,34.950,31.6
1.10,34.969,32.1
1.20,34.978,32.6
1.30,34.983,32.9
1.40,34.986,33.2
1.50,34.987,33.4
1.60,34.988,33.6
1.70,34.988,33.7
1.80,34.988,33.9
1.90,34.988,34.0
