# Purpose: Verify the imposed fixed-density fracture-gas pressure gradient and absolute pressure.
variant,time_years,datum_pressure_pa,gas_density_kg_per_m3,expected_dp_dz_pa_per_m,fitted_dp_dz_pa_per_m,slope_error_pa_per_m,fitted_intercept_pa,max_abs_pressure_error_pa,rms_pressure_error_pa,pressure_spread_pa
right,0.1,38144036.519099526,237.00541597063173,-2325.0231306718974,-2325.064546632719,-0.041415960821723274,38151124.70271104,0.36180415749549866,0.11648565580380128,7087.782621093094
right,0.2,37955292.53819905,236.23738082792448,-2317.488705921939,-2317.525300377805,-0.03659445586572474,37962357.7420181,0.3298175185918808,0.10539558256991417,7064.776171728969
right,0.30000000000000004,37766548.55729858,235.47430736599082,-2310.00295526037,-2310.033599681428,-0.03064442105778653,37773590.92636781,0.2929131090641022,0.08941126845358877,7041.9140386506915
right,0.4,37577804.576398104,234.71614765926537,-2302.5654085373935,-2302.591921126751,-0.026512589357480465,37584824.26192084,0.26435647904872894,0.07868565104790405,7019.208129703999
right,0.5,37389060.59549763,233.9628543974281,-2295.17560163877,-2295.1968436971215,-0.021242058351617743,37396057.73994397,0.23391719162464142,0.06378826508215095,6996.646434135735
right,0.6000000000000001,37200316.61459716,233.21438087556308,-2287.833076389274,-2287.849426235266,-0.01634984599195377,37207291.3628955,0.2042391076683998,0.049807437328534945,6974.23072758317
right,0.7000000000000001,37011572.63369668,232.47068098450575,-2280.5373804580013,-2280.549496265085,-0.012115807083773689,37018525.130143404,0.17236699163913727,0.03766906200984039,6951.956250786781
right,0.8,36822828.65279621,231.73170920137395,-2273.2880672654787,-2273.296720019961,-0.008652754482227465,36829759.040614635,0.14187268167734146,0.02772543360529637,6929.825323544443
right,0.9,36634084.671895735,230.99742058027928,-2266.08469589254,-2266.090473571875,-0.005777679335096764,36640993.092557736,0.1121707484126091,0.019348920863369316,6907.835658885539
right,1.0,36445340.69099526,230.26777074321427,-2258.926830990932,-2258.9303639038994,-0.0035329129673300486,36452227.28473599,0.0904761254787445,0.012885915798501912,6885.9933067038655
right,1.1,36256596.71009479,229.50824689815735,-2251.475902070924,-2251.4776871477397,-0.0017850768158496066,36263460.58469846,0.06930318474769592,0.007787149652680878,6863.258343569934
right,1.2000000000000002,36067852.72919431,228.70368748438713,-2243.583174221838,-2243.58394759788,-0.0007733760421615443,36074692.53959296,0.04757636785507202,0.004192650132421172,6839.176336072385
right,1.3,35879108.74829384,227.904749259127,-2235.7455902320357,-2235.7459241624624,-0.0003339304266773979,35885924.664010786,0.02721916139125824,0.002250063146893097,6815.263924151659
right,1.4000000000000001,35690364.767393366,227.11137351739674,-2227.9625742056623,-2227.9627458482873,-0.00017164262499136385,35697156.955460735,0.009808562695980072,0.0011998121362173987,6791.520903341472
right,1.5,35501620.78649289,226.32350236882883,-2220.233558238211,-2220.233672646241,-0.00011440802973083919,35508389.41177539,0.00300433486700058,0.0008027367504831581,6767.953213356435
right,1.6,35312876.80559242,225.54107872358773,-2212.5579822783957,-2212.558076573323,-9.429492729395861e-05,35319622.03108384,0.0020935386419296265,0.0006008094380271403,6744.553933367133
right,1.7000000000000002,35124132.824691944,224.7640462785797,-2204.935293992867,-2204.935377623137,-8.36302697280189e-05,35130854.8116368,0.0015192925930023193,0.0004463919723334076,6721.316824167967
right,1.8,34935388.84379147,223.9923495039472,-2197.364948633722,-2197.3650253983506,-7.676462837480358e-05,34942087.75176113,0.0010317489504814148,0.00032915275986528607,6698.239585928619
right,1.9000000000000001,34746644.862890996,223.2259336298399,-2189.8464089087292,-2189.8464807792793,-7.187055007307208e-05,34753320.84981654,0.000860065221786499,0.00025026272153145406,6675.320407897234
right,2.0,34557900.88199052,222.46474463345723,-2182.3791448542156,-2182.379213137848,-6.828363257227466e-05,34564554.10418782,0.0007852911949157715,0.00021566762577378902,6652.557606808841
right,2.1,34369156.90109005,221.70872922635434,-2174.962633710536,-2174.962699273168,-6.556263178936206e-05,34375787.51328189,0.0007332712411880493,0.0002258546232675793,6629.949768215418
right,2.2,34180412.920189574,220.95783484200646,-2167.5963598000835,-2167.596423750849,-6.395076570697711e-05,34187021.07552746,0.0007419735193252563,0.0002646612240820355,6607.495082512498
right,2.3000000000000003,33991668.9392891,220.19126410395992,-2160.076300859847,-2160.076356399525,-5.553967821469996e-05,33998254.16895817,0.0011618807911872864,0.0003590336386162372,6584.57156766206
right,2.4000000000000004,33802924.95838863,219.3404269845133,-2151.729588718076,-2151.729635057067,-4.6338991069205804e-05,33809484.74219591,0.0011978819966316223,0.0003788944454172924,6559.128195770085
right,2.5,33614180.97748815,218.49613996389235,-2143.447133045784,-2143.4471667393873,-3.369360319993575e-05,33620715.5113012,0.0010055452585220337,0.00036142269092996333,6533.880737408996
