# Purpose: compare dual-continuum single-block matrix oil recovery with the digitized Thomas 1983 Fig. 4 curve.
time_years,matrix_oil_component_mass_recovery_pct,normalized_oil_saturation_reduction_pct,oil_component_mass_minus_thomas_percentage_points,thomas_fig4_recovery_pct,matrix_oil_saturation,matrix_gas_saturation,matrix_water_saturation
0.0,0.0,0.0,0.0,0.0,0.8006282552034262,0.00019060391591083854,0.1991810354025497
0.25,8.579480132457174,9.238432598950741,-3.9205198675428257,12.5,0.7266627534783023,0.07406110945980411,0.1992761372860466
0.5,13.247260618078183,14.50125024778659,-13.752739381921817,27.0,0.6845271483618899,0.11610108612229421,0.1993717656057872
0.75,16.058698947831807,17.881116494649074,-19.191301052168193,35.25,0.6574669842014252,0.14306549150006906,0.19946752463234946
1.0,17.68478258469547,20.069149335854142,-22.31521741530453,40.0,0.6399489750416072,0.16048773273621175,0.199563292668086
1.25,18.4831031983715,21.427699260942568,-23.8918968016285,42.375,0.6290720404803043,0.17126907631399285,0.19965888325335857
1.5,18.729056895999374,22.24612091205528,-25.420943104000624,44.15,0.6225195254947935,0.17772567575513962,0.19975479893186576
1.75,18.731142822003278,22.828069807835018,-26.743857177996723,45.475,0.6178602782043365,0.182289224145784,0.19985049767693566
2.0,18.73114283390217,23.410089329874996,-27.26885716609783,46.0,0.6132004654600846,0.18685298582697768,0.19994654887941188
2.25,18.731142845764616,23.98411673849382,-27.268857154235384,46.0,0.6086046398340702,0.19135299154672003,0.2000423686403642
2.5,18.731142857649008,24.49258721961297,-27.268857142350992,46.0,0.6045336814928615,0.19532801028002608,0.20013830836103147
