# Purpose: compare canonical GDP-on GEOS recovery with the independent zero-fracture-Pc oracle.
time_years,geos_recovery_pct,oracle_recovery_pct,geos_minus_oracle_percentage_points
0.0,0.000000,0.000000,0.000000
0.25,17.467763,17.453838,0.013925
0.5,27.336392,27.314145,0.022247
0.75,33.563179,33.523115,0.040064
1.0,37.712370,37.658157,0.054213
1.25,40.549536,40.490500,0.059036
1.5,42.504206,42.436206,0.068000
1.75,43.838375,43.767077,0.071298
2.0,44.730477,44.651916,0.078560
2.25,45.286868,45.202905,0.083962
2.5,45.542291,45.451365,0.090926
