# Purpose: compare dual-continuum single-block matrix oil recovery with the digitized Thomas 1983 Fig. 4 curve.
time_years,matrix_oil_component_mass_recovery_pct,normalized_oil_saturation_reduction_pct,oil_component_mass_minus_thomas_percentage_points,thomas_fig4_recovery_pct,matrix_oil_saturation,matrix_gas_saturation,matrix_water_saturation
0.0,0.0,0.0,0.0,0.0,0.8006279482382894,0.00019094054639118966,0.19918103851161406
0.25,17.46776316754174,18.065117113810558,4.96776316754174,12.5,0.6559935717431439,0.14472989327066402,0.1992765354187326
0.5,27.336391816806614,28.389486560116517,0.33639181680661423,27.0,0.5733337844766436,0.22729394522516908,0.1993722704642491
0.75,33.563178923396805,35.00850235770402,-1.686821076603195,35.25,0.5203400941028505,0.28019179445297965,0.19946811205382445
1.0,37.71237010349524,39.519682483581484,-2.287629896504761,40.0,0.48422232521970426,0.31621372868730063,0.19956394692685536
1.25,40.54953566171725,42.700194106052955,-1.8254643382827496,42.375,0.45875826027323063,0.34158214086525246,0.19965959896300825
1.5,42.504206000033676,44.9957314938807,-1.6457939999663225,44.15,0.44037954638402255,0.35986487029809916,0.19975558372736005
1.75,43.838375458584466,46.67302542330707,-1.6366245414155358,45.475,0.4269506624109309,0.37319801755785936,0.1998513200725022
2.0,44.73047675393541,47.91601851063307,-1.2695232460645869,46.0,0.41699891235912884,0.3830536927522824,0.19994739504106038
2.25,45.28686757580489,48.82640992549175,-0.7131324241951091,46.0,0.40971006425340833,0.39024670827899316,0.20004322747688766
2.5,45.54229138057207,49.406064974576246,-0.45770861942793317,46.0,0.4050691839270635,0.39479163954908425,0.200139176483236
