# Purpose: compare dual-continuum single-block matrix oil recovery with the digitized Thomas 1983 Fig. 4 curve.
time_years,matrix_oil_component_mass_recovery_pct,oil_component_mass_minus_thomas_percentage_points,thomas_fig4_recovery_pct,matrix_oil_saturation,matrix_gas_saturation,matrix_water_saturation
0.0,0.0,0.0,0.0,0.8004732828680204,1.1277587453886982e-05,0.19951543973153077
0.25,15.252217084392239,2.752217084392239,12.5,0.6734294975851802,0.1269673577977909,0.19960314660769002
0.5,19.650791146665036,-7.349208853334964,27.0,0.6338244651581563,0.16648549565420467,0.19969003932744986
0.75,21.642079616024102,-13.607920383975898,35.25,0.6135651386314296,0.18665765645586352,0.19977720540170424
1.0,22.666526795505458,-17.333473204494542,40.0,0.6010640102224218,0.1990718510759827,0.19986413875238043
1.25,23.236927017773812,-19.138072982226188,42.375,0.592222230006973,0.2078263923405274,0.19995137790902662
1.5,23.559284010450753,-20.590715989549246,44.15,0.5853722360026926,0.2145893676121916,0.200038396416469
1.75,23.710473396888087,-21.764526603111914,45.475,0.5798448214759381,0.2200294517767003,0.2001257269025051
2.0,23.739402967470724,-22.260597032529276,46.0,0.5752682499248332,0.22451891057652118,0.20021283951995417
2.25,23.739402978631652,-22.260597021368348,46.0,0.5709514291559766,0.2287483037606968,0.20030026718463853
